Rank,Medal,School,Team,Solved,Penalty,Dirt,A,B,C,D,E,F,G,H,I,J,K,L,M
1,Gold,北京大学,上帝和他的工具人们,10,1045,0.23,+2(18),+1(194),+1(24),-7,+1(86),+1(30),,+1(54),+1(279),+2(108),,+2(141),+1(51)
2,Gold,上海交通大学,不朽之夜,9,931,0.25,+3(47),,+1(31),,+1(109),+1(26),,+2(180),+1(192),+1(118),,+1(77),+1(91)
3,Gold,南京大学,咖啡鸡,9,992,0.25,+1(20),-2,+1(13),,+1(74),+1(52),,+2(91),+1(160),+1(273),,+3(217),+1(32)
4,Gold,上海交通大学,燕返,9,1552,0.52,+1(26),+4(265),+3(28),,+2(77),+2(80),,+3(96),+1(296),+1(276),,,+2(208)
5,Gold,浙江大学,Legilimens,8,849,0.27,+1(44),,+2(31),-3,+1(98),+2(61),,+2(183),-3,+1(189),,+1(111),+1(72)
6,Gold,东南大学,艾斯易悠-都行,8,1234,0.42,+2(72),,+1(27),,+3(228),+1(66),,+3(145),+1(266),+2(223),,,+1(87)
7,Gold,北京大学,我们队的队名长达十七个字，你们能秒我？,7,852,0.3,+1(100),,+1(15),,+1(188),+1(135),,+2(246),,,,+1(34),+3(74)
8,Gold,华东师范大学,_,7,968,0.36,+3(55),,+1(46),,+1(150),+2(86),,+2(237),,-6,,+1(204),+1(110)
9,Gold,北京大学,全场队名最正常的队,7,1015,0.3,+1(87),,+1(36),,+3(206),+1(70),,,,+1(270),,+2(173),+1(113)
10,Gold,上海大学,你以为你CF过了四题,7,1067,0.53,+1(69),,+1(41),,+1(128),+3(43),,+4(253),,+2(211),,,+3(162)
11,Gold,北京航空航天大学,一号位,7,1199,0.58,+3(65),,+3(57),,+2(207),+1(49),,,,+3(288),,+1(98),+4(235)
12,Gold,中山大学,中山大学_午餐不见了,7,1202,0.58,+5(120),,+1(30),,+3(201),+1(59),,-15,,+2(224),,+3(272),+2(96)
13,Gold,清华大学,灰胡椒,7,1384,0.72,+5(232),,+3(25),,+3(183),+4(75),,+5(153),-5,-3,,+1(213),+4(143)
14,Gold,复旦大学,喵喵流,6,641,0.57,+2(48),,+1(23),,+4(183),+1(28),,+5(136),,,,-3,+1(63)
15,Gold,浙江大学,Extraterrestrial,6,717,0.14,+1(32),,+1(25),,+1(232),+1(94),,+2(212),,-4,,,+1(102)
16,Gold,浙江大学,Immortal Shield,6,754,0.4,+1(17),,+1(32),,+1(215),+2(93),,+3(205),,-3,,-8,+2(112)
17,Gold,厦门大学,趁热,6,867,0.45,+3(79),,+2(31),,+3(238),+1(85),,,,+1(191),,-3,+1(143)
18,Gold,中山大学,中山大学_职业鸽手,6,910,0.53,+1(46),,+2(29),,+3(256),+1(51),,+2(167),,,,-3,+4(221)
19,Gold,复旦大学,小小青蛙不输风雨,6,975,0.53,+2(73),,+4(57),,+2(148),+1(87),,-8,,+1(198),,,+3(272)
20,Gold,广东工业大学,最大瘤,6,1033,0.45,+1(44),,+1(18),,+4(291),+2(166),,,,,,+1(190),+2(224)
21,Gold,电子科技大学,UESTC_Dove,6,1069,0.66,+1(80),,+5(90),,+4(239),+2(85),,,,-3,,+4(197),+2(138)
22,Gold,清华大学,我带你们打,6,1137,0.75,+1(101),,+1(33),,+12(211),+1(18),,,,,,+6(286),+3(128)
23,Gold,北京师范大学,古手羽入,6,1292,0.64,+4(253),,+1(28),,+1(175),+1(89),,,,+1(230),,-4,+9(297)
24,Gold,清华大学,恶膜铭铭秒没命,6,1345,0.72,+3(88),,+4(75),,+5(224),+2(176),,,-2,-9,,+3(290),+5(172)
25,Gold,电子科技大学,UESTC_Sakura,5,479,0.16,+1(56),,+1(32),,-4,+1(16),,-7,,+1(222),,-4,+2(133)
26,Gold,浙江师范大学,???,5,495,0.54,+3(18),,+1(20),,+1(133),+2(44),,-18,,,,,+4(160)
27,Gold,北京航空航天大学,试炼者,5,538,0.5,+1(33),,+1(40),,+5(194),+2(74),,,,-8,,,+1(97)
28,Gold,同济大学,荠蒻,5,596,0.61,+4(48),,+2(22),,+4(194),+1(93),,-21,,,,,+2(79)
29,Silver,北京邮电大学,假面骑士,5,661,0.44,+1(57),,+2(32),,+3(197),+1(82),,,,-3,,,+2(213)
30,Silver,中国地质大学（武汉）,胜天半子,5,690,0.37,+1(84),,+2(32),,+2(256),+1(58),,+2(200),,,,,-3
30,Silver,北京航空航天大学,萌新求带,5,690,0.5,+2(101),,+1(14),,+3(221),+3(95),,,,,,,+1(159)
32,Silver,东华大学,宇宙世界无敌,5,746,0.37,+1(128),,+1(26),,+2(181),+1(54),,+3(297),,,,,
33,Silver,浙江农林大学,白昼之光,5,748,0.64,+2(55),,+2(25),,+4(259),+5(137),,,,+1(92),,,-11
34,Silver,浙江工业大学,ZJUT5,5,779,0.64,+1(42),,+1(20),,+3(176),+1(64),,,,,,,+8(297)
35,Silver,山东大学（威海）,最强蛐蛐,5,792,0.44,+2(165),,+3(37),,-6,+2(119),,,,+1(266),,,+1(125)
36,Silver,中国海洋大学,如何让新生爱上acm,5,797,0.5,+5(147),,+1(22),,+1(224),+2(67),,,,,-2,,+1(237)
37,Silver,山东理工大学,丰神如玉世无双,5,799,0.5,+2(101),,+2(21),,-3,+1(122),,+2(250),,,,,+3(205)
38,Silver,江苏科技大学,还好没考后缀自动机,5,800,0.61,+2(70),,+1(25),,+5(257),+1(59),,,,-5,,,+4(229)
39,Silver,浙江中医药大学,数学与编程,5,826,0.44,+1(46),,+2(23),,+2(297),+3(164),,,,,,,+1(216)
40,Silver,浙江工业大学,汤姆熊猫,5,843,0.44,+2(98),,+1(26),,-6,+2(113),,,,+1(272),,,+3(254)
41,Silver,温州大学,阿尔法队,5,857,0.66,+2(55),,+2(45),,-5,+4(191),,,,,,+1(218),+6(148)
42,Silver,东南大学,该学英语了,5,883,0.7,+1(63),,+1(23),,+4(175),+2(94),,,,,,,+9(288)
43,Silver,华中科技大学,春田花花幼稚园,5,885,0.58,+2(68),,+1(34),,-4,+2(141),,,,+2(281),,,+5(221)
44,Silver,大连理工大学,mob,5,903,0.61,+4(111),,+3(97),,+2(236),+1(95),,,,-3,,,+3(204)
45,Silver,武汉大学,能吃能睡带不动,5,924,0.58,+1(97),,+3(81),,+2(236),+1(73),,,-3,,,,+5(297)
46,Silver,西北工业大学,铸铁成金,5,969,0.64,+3(96),,+3(49),,+3(244),+1(104),,,,,,,+4(296)
47,Silver,河海大学,我永远喜欢由比滨结衣,4,330,0,+1(44),,+1(27),,+1(178),+1(81),,,,,,,-2
48,Silver,杭州师范大学,Tree-AC,4,392,0,+1(66),,+1(24),,+1(221),+1(81),,,,,,,
49,Silver,中山大学,中山大学_星云,4,428,0.33,+1(96),,+1(31),,+3(222),+1(39),,,,,,,-5
50,Silver,南京大学,No Response,4,472,0.5,+3(123),,+2(35),,,+1(73),,,,,,,+2(161)
51,Silver,河南农业大学,30iq,4,482,0.5,+2(99),,+2(26),,-3,+1(64),,,,,,,+3(213)
52,Silver,中国人民大学,我就是把键盘敲烂了也不用IDE,4,487,0.5,+3(110),,+1(21),,-5,+1(55),,,,,,-3,+3(221)
53,Silver,山东大学,棉花糖,4,499,0.33,+2(134),,+1(16),,+2(231),+1(78),,,,,,,
54,Silver,长安大学,随机星,4,504,0.5,+2(103),,+2(47),,,+1(104),,,,,,,+3(170)
55,Silver,宁波工程学院,牛顿的烈焰激光剑,4,505,0.5,+3(91),,+1(25),,-5,+2(126),,,,,,,+2(183)
55,Silver,中国石油大学（华东）,一发玄学试试水，全靠暴力出奇迹,4,505,0.5,+3(41),,+1(24),,+1(219),+3(141),,,,,,,-2
57,Silver,上海大学,魔菜队,4,541,0.42,+2(121),,+1(30),,+3(254),+1(76),,-2,,,,,
58,Silver,西北大学,carry jwj,4,558,0.6,+5(111),,+3(16),,+1(246),+1(65),,,,,,,-5
59,Silver,重庆大学,这座城，又多了三个打铁的人,4,567,0.5,+2(57),,+2(35),,,+1(115),,,,,,,+3(280)
60,Silver,重庆邮电大学,菜的魔力转圈圈,4,572,0.63,+3(103),,+3(46),,-8,+1(94),,,,-2,,,+4(189)
61,Silver,哈尔滨工业大学,哈工大没有空调,4,577,0.55,+1(87),,+1(24),,,+2(67),,,,,,,+5(299)
62,Silver,广州大学,我钟意食烧鸡翼,4,579,0.42,+2(104),,+2(38),,+2(228),+1(149),,,,-3,,,
63,Silver,青岛大学,单皮奶,4,608,0.42,+1(102),,+2(43),,+2(276),+2(127),,-3,,,,,
64,Silver,电子科技大学,UESTC_Ycuf,4,612,0.5,+2(86),,+1(67),,+2(236),+3(143),,,,,,,-4
65,Silver,国防科技大学,听党指挥,4,622,0.63,+2(82),,+1(15),,+7(291),+1(94),,,,-3,,,
66,Silver,武汉大学,珞珈山老演员,4,631,0.66,+3(44),,+1(37),,+7(293),+1(97),,-2,,-2,,,-2
67,Silver,西北工业大学,你的菜名从爱尔兰到契丹无人不知无人不晓,4,632,0.63,+4(277),,+3(48),,,+1(35),,,,,,-5,+3(132)
68,Silver,北京理工大学,I题是个签到题,4,643,0.6,+1(75),,+3(40),,,+3(115),,,,,,,+3(293)
69,Silver,湘潭大学,我太南了,4,645,0.6,+1(83),,+3(53),,+4(222),+2(167),,,,,,,-3
70,Silver,北京邮电大学,输出五分钟，点餐两小时,4,646,0.6,+1(74),,+2(35),,+4(283),+3(134),,,,,,,-4
71,Silver,浙江大学宁波理工学院,自由探戈,4,660,0.6,+3(144),,+3(19),,+3(247),+1(130),,,,,,,-5
72,Silver,东南大学,打完这场我就退役,4,664,0.66,+2(111),,+3(52),,-2,+2(81),,,,-3,,,+5(260)
73,Silver,哈尔滨工业大学,楼上带哥队名真好听,4,671,0.63,+1(48),,+6(70),,-8,+3(203),,,,,,,+1(210)
74,Silver,华南理工大学,SCUT_鸽子固定器,4,686,0.55,+1(79),,+2(42),,+5(279),+1(186),,,,,,,-8
75,Silver,杭州电子科技大学,太空人,4,693,0.55,-7,,+1(27),,,+1(83),,,,+1(206),,,+6(277)
76,Silver,西安交通大学,对对,4,695,0.63,+2(105),,+4(79),,-3,+2(75),,,,,,,+3(296)
77,Silver,南京航空航天大学,教练我想穿裙子,4,730,0.71,+1(85),,+2(57),,+10(277),+1(111),,,,,,,-4
78,Silver,浙江工商大学,我们一定会有女朋友的,4,733,0.6,+4(92),,+3(46),,,+1(198),,,,,,,+2(277)
79,Silver,山东大学,本题唯一指定算法,4,751,0.73,+2(61),,+2(65),,,+4(133),,+7(272),,,,,-5
80,Silver,北京理工大学,北湖函数,4,760,0.42,+2(171),,+1(37),,+2(296),+2(196),,,,,,,
81,Silver,中国石油大学（华东）,我想过六级,4,774,0.66,+3(114),,+2(51),,+4(290),+3(159),,,,,,,
81,Silver,西安电子科技大学,睡梦罗汉拳,4,774,0.78,+2(59),,+1(24),,+14(299),+2(92),,,,,,,-5
83,Silver,华南农业大学,大三索,4,782,0.55,+4(256),,+1(21),,,+3(126),,+1(279),,,,-4,-5
84,Silver,太原理工大学,明向故事,4,799,0.69,+2(157),,+6(127),,,+1(96),,,,,,,+4(239)
85,Silver,南华大学,我爱北京天安门,4,872,0.63,+3(146),,+2(58),,,+4(246),,-2,,,,,+2(282)
86,Bronze,青岛科技大学,白珍珠的泡沫爱慕,4,907,0.81,+4(87),,+1(25),,+15(296),+2(139),,,,,,,-5
87,Bronze,华南理工大学,今天队友到齐了吗,4,928,0.76,+2(107),,+5(105),,+5(274),+5(182),,,,-3,,,-6
88,Bronze,西安交通大学,外柔内刚,4,955,0.71,+4(132),,+7(152),,+2(279),+1(192),,,,,,,
89,Bronze,北京师范大学,大风吹,4,1006,0.81,+8(191),,+4(56),,+6(294),+4(105),,,,,,,-2
90,Bronze,西安交通大学,真签完到就金啊都,4,1068,0.75,+6(283),,+5(207),,+4(295),+1(43),,,,,,,
91,Bronze,湖南文理学院,AC自动机,3,148,0.25,+2(14),,+1(39),,-3,+1(75),,,,,,,-6
92,Bronze,台州学院,最大牛,3,197,0.25,+1(89),,+2(26),,-5,+1(62),,,,,,,-2
93,Bronze,深圳大学,爆零,3,198,0.25,+1(87),,+2(27),,-6,+1(64),,,,,,,
94,Bronze,南京邮电大学,三相之力,3,219,0.4,+3(89),,+1(35),,,+1(55),,,,-2,,,-2
95,Bronze,江苏科技大学,AC一题XYC捐赠一件装备,3,230,0.25,+1(115),,+2(27),,,+1(68),,,,,,,-10
96,Bronze,南开大学,常WA,3,236,0.25,+2(120),,+1(22),,,+1(74),,,,,,,-6
97,Bronze,杭州电子科技大学,三文鱼,3,237,0.4,+3(78),,+1(23),,,+1(96),,,,,,,-2
98,Bronze,山东师范大学,沈佳宜好菜啊,3,258,0.25,+1(62),,+1(40),,-18,+2(136),,,,,,,
99,Bronze,中国矿业大学（北京）,京矿小队,3,269,0.5,+3(72),,+1(16),,,+2(121),,,,,,,-13
100,Bronze,北京化工大学,不是很懂你们Div1,3,275,0.25,+2(98),,+1(49),,,+1(108),,,,,,,-7
101,Bronze,南京理工大学,这次想好叫啥名,3,282,0.25,+1(98),,+2(45),,,+1(119),,,,,,,-5
102,Bronze,成都东软学院,喷火龙,3,290,0.25,+2(107),,+1(38),,,+1(125),,,,,,,-7
103,Bronze,南京大学,皮卡丘永不为奴,3,294,0.57,+3(115),,+3(26),,,+1(73),,,,,,-10,
104,Bronze,武汉大学,能吃能睡带得动,3,309,0.57,+2(94),,+1(43),,,+4(92),,,-7,,,,-7
105,Bronze,华南理工大学,SCUT_赌徒,3,312,0.57,+3(131),,+3(32),,-2,+1(69),,,,,,-5,
106,Bronze,哈尔滨工业大学（威海）,蓝莓蛋挞,3,315,0.4,+2(71),,+1(36),,,+2(168),,,,,,,-8
106,Bronze,四川大学,稍等，我们想一个队名,3,315,0.25,+2(176),,+1(34),,,+1(85),,,,,,,-4
108,Bronze,福州大学,憨批熊,3,316,0.4,+1(70),,+2(29),,,+2(177),,,,,,,
109,Bronze,中国石油大学（华东）,苦练自动机,3,322,0.62,+3(89),,+4(28),,,+1(105),,,,,,,
110,Bronze,东北农业大学,七面埋伏,3,328,0.25,+2(182),,+1(49),,,+1(77),,,,,-2,,-2
111,Bronze,浙江理工大学,围着火炉吃西瓜,3,336,0.62,+6(120),,+1(16),,,+1(100),,,,,,,-4
111,Bronze,福建师范大学,我样例过了！,3,336,0.5,+4(166),,+1(27),,,+1(83),,,,,,,-3
113,Bronze,西北工业大学,你看这个锅它又大又圆,3,340,0.4,+3(190),,+1(28),,,+1(82),,,,,,,-3
113,Bronze,华东理工大学,瑟瑟发抖,3,340,0.4,+1(142),,+1(96),,,,,,,,,-3,+3(62)
115,Bronze,郑州大学,我不要你觉得,3,351,0.4,+1(80),,+2(55),,,+2(176),,,,,,,-4
115,Bronze,北京交通大学,和，断幺九,3,351,0.5,+3(119),,+1(36),,-4,+2(136),,,,,,,
117,Bronze,长春工业大学,两个露琪亚，一人一个,3,352,0.25,+2(125),,+1(26),,,+1(181),,,,,,,-10
118,Bronze,华东师范大学,玉米炒葡萄,3,359,0.62,+1(24),,+3(63),,-5,+4(172),,,,,,,-7
119,Bronze,湘潭大学,教练我们想要坐飞机,3,361,0.4,+1(121),,+2(24),,-6,+2(176),,,,,,,
120,Bronze,东北大学秦皇岛分校,NEUQ-来帮学长找妹子,3,365,0.5,+4(110),,+1(58),,,+1(137),,,,,,,-8
121,Bronze,北京邮电大学,垃圾全家桶,3,370,0.57,+3(149),,+1(26),,-8,+3(115),,,,,,,
122,Bronze,南京航空航天大学,犹豫，就会白给,3,372,0.5,+3(187),,+1(38),,,+2(87),,,,,,,-4
123,Bronze,绍兴文理学院元培学院,榜一扛着火车跑了,3,373,0.5,+3(172),,+2(21),,,+1(120),,,,,,,-12
124,Bronze,河南理工大学,犹豫就会败北,3,388,0.5,+3(81),,+1(34),,,+2(213),,,,,,,-8
