Rank,Medal,School,Team,Solved,Penalty,Dirt,A,B,C,D,E,F,G,H,I,J,K,L,M
125,Bronze,哈尔滨工程大学,沧桑旅者,3,390,0.4,+3(130),,+1(31),,,+1(189),,,,,,,-2
126,Bronze,山东理工大学,"你好,徐州",3,391,0.7,+5(88),,+2(34),,,+3(129),,,,,,,-10
126,Bronze,广东工业大学,闪光六连,3,391,0.5,+1(102),,+2(53),,,+3(176),,,,,,,-6
128,Bronze,大连理工大学,青春野狼,3,393,0.5,+1(134),,+3(43),,,+2(156),,,,-2,,,
129,Bronze,江南大学,WFT,3,397,0.57,+4(130),,+1(39),,,+2(148),,,,,,,-6
130,Bronze,南京工业大学,南工喷壶,3,398,0.57,+4(156),,+1(66),,,+2(96),,,,,,,
131,Bronze,南京理工大学,抽象艺术家,3,410,0.66,+6(79),,+1(24),,,+2(187),,,,,,,-10
132,Bronze,山东理工大学,华灯初上,3,412,0.25,+1(226),,+1(36),,,+2(130),,,,,,,-5
133,Bronze,西南交通大学,集体翻车,3,422,0.62,+2(177),,+4(75),,,+2(70),,,,,,,-4
133,Bronze,南开大学,大人，时代变了,3,422,0.5,+4(239),,+1(45),,,+1(78),,,,,,,-4
135,Bronze,南方科技大学,南方科技大学_叙斯特伦,3,425,0.62,+3(217),,+2(11),,-3,+3(97),,,,,,,-6
136,Bronze,浙江财经大学,doctor~现在还不能休息哟,3,431,0.62,+4(100),,+3(89),,-5,+1(142),,,,,,,-8
137,Bronze,山东大学,看我倒拔KD树,3,434,0.57,+2(122),,+3(70),,,+2(162),,,,,,,
138,Bronze,中国矿业大学,AD钙,3,440,0.57,+4(194),,+2(56),,,+1(110),,,,,,,-4
139,Bronze,电子科技大学中山学院,CDZSC_再来一发,3,445,0.25,+1(200),,+2(60),,,+1(165),,,,,,,-7
140,Bronze,长沙理工大学,嘤洋怪琦,3,454,0.62,+4(128),,+3(52),,,+1(174),,,,,,,-2
140,Bronze,上海大学,格物致知,3,454,0.57,+5(260),,+1(31),,-2,+1(83),,,,,,,
142,Bronze,江南大学,菜的魔力转圈圈,3,455,0.4,+2(148),,+1(41),,,+2(226),,,,,,,-2
143,Bronze,东北大学,队名被改了,3,456,0.62,+5(203),,+2(61),,-3,+1(92),,,,,,,-8
144,Bronze,郑州轻工业大学,我有两块牌，一块是铁，另一块也是铁,3,461,0.4,+3(190),,+1(69),,-4,+1(162),,,,,,,
145,Bronze,东北大学秦皇岛分校,NEUQ-Team Defy,3,468,0.5,+4(147),,+1(34),,,+1(227),,,,,,,-6
146,Bronze,华中科技大学,黑糖珍珠圣代,3,479,0.62,+4(234),,+3(48),,,+1(97),,,,,,,-2
147,Bronze,南京理工大学,中饭要吃三份才能过题,3,480,0.66,+5(206),,+3(43),,,+1(111),,,,,,,-7
148,Bronze,杭州电子科技大学,轮到我了,3,483,0.72,+8(201),,+1(45),,,+2(77),,,,,,,-6
148,Bronze,合肥学院,番茄乐园,3,483,0.25,+2(199),,+1(26),,,+1(238),,,,,,,-15
148,Bronze,东北大学,星象仪,3,483,0.57,+3(204),,+2(68),,-7,+2(131),,,,,,,
151,Bronze,常州大学,给榜一倒一杯卡布奇诺,3,485,0.4,+2(129),,+1(72),,,+2(244),,,,,,,
152,Bronze,南阳理工学院,哆啦WA梦,3,489,0.57,+4(279),,+1(37),,,+2(93),,,,,,,
152,Bronze,湖南科技大学,匿名群友,3,489,0.62,+5(205),,+1(45),,,+2(139),,,,,,,-5
154,Bronze,中国矿业大学,cumt2-2,3,493,0.57,+3(106),,+1(38),,,+3(269),-2,,,,,,
155,Bronze,东北大学秦皇岛分校,NEUQ-DevDev,3,496,0.5,+1(125),,+1(41),,,+4(270),,,,,,,
156,Bronze,北京师范大学珠海分校,忘记注册,3,504,0.57,+3(133),,+1(45),,,+3(246),,,,,,,-5
157,Bronze,南京晓庄学院,全体起立,3,511,0.7,+7(248),,+1(22),,,+2(101),,,,,,,
157,Bronze,宁波大学,CF想AK一次,3,511,0.5,+4(221),,+1(27),,,+1(203),,,,,,,
159,Bronze,南京师范大学,敏行队,3,512,0.66,+5(254),,+1(24),,,+3(114),,,,,,,
160,Bronze,东北农业大学,毋须三人，一人即可坐断钢筋,3,517,0.5,+2(159),,+2(71),,,+2(227),,,,,,,
161,Bronze,肇庆学院,阿仙奴,3,526,0.4,+1(153),,+3(93),,,+1(240),,,,,,,
162,Bronze,东北大学,辉耀,3,530,0.62,+3(253),,+2(93),,,+3(84),,,,,,,
162,Bronze,东北林业大学,1234567,3,530,0.5,+1(107),,+1(72),,,+4(291),,,,,,,
164,Bronze,福建工程学院,队名,3,531,0.62,+3(238),,+4(93),,,+1(100),,,,,,,-7
165,Bronze,苏州大学,树上停滞机,3,537,0.57,+4(129),,+2(60),,,+1(268),,,,,,,-6
166,Bronze,浙江科技学院,和山车神,3,548,0.7,+6(213),,+2(45),,,+2(150),,,,,,,
167,Bronze,中国计量大学现代科技学院,现科一队,3,553,0.62,+5(256),,+2(53),,,+1(144),,,,,,,-4
168,Bronze,北京理工大学,雨女无瓜,3,563,0.7,+7(133),,+1(30),,,+2(260),,,,,,,-6
169,Bronze,闽南师范大学,天佐,3,571,0.66,+7(225),,+1(24),,,+1(202),,,,,,,-5
170,Bronze,天津大学,月下带花树,3,573,0.57,+2(174),,+3(94),,,+2(225),,,,,,,-3
170,,南京邮电大学,莫比乌斯演我,3,573,0.5,+1(248),,+2(58),,,+3(207),,,,,,,-2
172,,西南民族大学,SMU_起点,3,580,0.62,+2(134),,+1(77),,,+5(269),,,,,,,
173,,中北大学,最菜�,3,581,0.5,+2(240),,+1(19),,,+3(262),,,,,,,
174,,湖南工业大学,拖延症,3,584,0.72,+3(172),,+5(50),,,+3(202),,,,,,,-3
175,,南昌大学,supernova,3,594,0.66,+6(233),,+1(31),,,+2(210),,,,,,,-4
176,,中国矿业大学徐海学院,禁止吸烟,3,598,0.7,+3(232),,+3(32),,,+4(194),,,,,,,-2
177,,中南林业科技大学,正方形,3,604,0.57,+2(264),,+3(55),,,+2(205),,,,,,,
178,,南京航空航天大学,咕^6,3,605,0.7,+2(171),,+3(62),,,+5(232),,,,-2,,,
179,,长春理工大学,我的队友也很暴躁,3,611,0.72,+6(239),,+3(43),,,+2(169),,,,-2,,,
180,,南开大学,想起高兴的事情,3,620,0.7,+4(204),,+2(31),,,+4(245),,,,,,,
181,,中国矿业大学（北京）,鑫鑫向荣,3,621,0.76,+3(80),,+6(83),,,+4(258),,,,,,,-2
182,,江苏科技大学（张家港）,胜利,3,622,0.76,+3(186),,+1(23),,,+9(213),,,,,,,-3
183,,东北师范大学,焰起孤山,3,626,0.5,+2(174),,+1(100),,,+3(292),,,,,,,
184,,齐鲁工业大学,!_!,3,627,0.78,+3(70),,+7(174),,-4,+4(163),,,,,,,
185,,北京林业大学,极光永昼,3,633,0.62,+2(247),,+2(119),,,+4(167),,,,,,,-5
186,,河南理工大学,自闭三人行,3,636,0.66,+4(242),,+2(114),,,+3(160),,,,,,,-4
187,,福州大学,鸽鸽我们来惹,3,641,0.66,+6(251),,+2(79),,,+1(191),,,,,,,-4
188,,南昌航空大学,听取wa声一片,3,645,0.66,+4(114),,+3(143),,-6,+2(268),,,,,,,
189,,广东工业大学,暴力仙女,3,650,0.72,+4(110),,+4(106),,,+3(274),,,,,,,-2
190,,哈尔滨学院,可乐鸡,3,651,0.7,+7(232),,+1(16),,,+2(263),,,,,,,
191,,武汉科技大学,monster,3,659,0.72,+4(152),,+3(53),,,+4(294),,,,,,,
192,,西南石油大学,鸡你美死了,3,661,0.66,+4(198),,+3(111),,,+2(232),,,,,,,-6
193,,江西师范大学,请多关照,3,664,0.72,+5(258),,+1(80),,,+5(166),,,,,,,
194,,中原工学院,请来三套鼠标键盘,3,675,0.66,+4(278),,+1(33),,,+4(244),,,,,,,
195,,合肥工业大学,以上队伍成绩无效,3,679,0.83,+8(137),,+3(25),,,+7(217),,,,,,,-4
196,,南京信息工程大学,你在干啥,3,687,0.78,+4(239),,+8(174),,,+2(54),,,,,,,-2
197,,大连海事大学,风花雪月,3,692,0.57,+1(81),,+4(245),,,+2(286),,,,,,,
198,,烟台大学,三个火枪手,3,695,0.72,+5(231),,+5(126),,,+1(178),,,,,,,
199,,合肥工业大学宣城校区,虚拟键盘写代码,3,719,0.76,+2(187),,+2(40),,,+9(292),,,,,,,-2
200,,东华大学,什么,3,726,0.57,+3(230),,+2(156),,,+2(260),,,,,,,
201,,中国石油大学（北京）,像海和浪花一朵,3,729,0.72,+4(291),,+3(32),,,+4(246),,,,,,,
202,,华南师范大学,WAAAAS_SCNU,3,731,0.75,+3(169),,+4(127),,,+5(255),,,,,,,
203,,北京交通大学,球大不溜球,3,735,0.75,+6(228),,+5(266),,,+1(61),,,,,,,
204,,长沙学院,一个顶俩,3,758,0.78,+3(214),,+3(35),,,+8(289),,,,,,,
205,,哈尔滨理工大学,哈理工2019秋15,3,763,0.76,+3(264),,+9(158),,,+1(141),,,,,,,
206,,南京邮电大学,柠檬加醋,3,767,0.75,+5(266),,+2(31),,,+5(290),,,,,,,
207,,南通大学,我觉得我写的每一行代码都是诗,3,799,0.78,+7(233),,+3(55),,,+4(291),,,,,,,
208,,吉林大学,流浪气球,3,804,0.7,+4(257),,+5(154),,,+1(253),,,,,,,-3
209,,湖南大学,队列,3,824,0.82,+9(283),,+6(116),,,+2(145),,,,,,,
210,,华中科技大学,队伍名六个字,3,838,0.81,+5(260),,+7(145),,,+4(173),,,,,,,-2
211,,山东科技大学,奋进号,3,903,0.86,+5(187),,+4(42),,,+14(274),,,,,,,
212,,哈尔滨工业大学（深圳）,达克日食者号,3,953,0.84,+9(285),,+8(105),,,+2(243),,,,,,,
213,,中南大学,玩的开心,3,1049,0.82,+8(266),,+6(259),,-4,+3(244),,,,,,,
214,,山东科技大学,三叉戟号,2,160,0,,,+1(36),,,+1(124),,,,,,,-5
214,,太原理工大学,三个火枪手,2,160,0.33,+2(97),,+1(43),,,-14,,,,,,,
216,,青岛理工大学,逆光飞行,2,173,0.5,+3(94),,+1(39),,,-9,,,,,,,
217,,中国矿业大学,cumt2-1,2,189,0.5,+2(108),,+2(41),,,-12,,,,,,,
218,,华中农业大学,测评姬二分,2,206,0,-8,,+1(52),,,+1(154),,,,,,,
219,,吉林大学,给评测机倒一杯卡布奇诺,2,208,0.33,+1(132),,+2(56),,,-3,,,,,,,
220,,河北工业大学,应用回归分析,2,213,0.33,-6,,+2(47),,,+1(146),,,,,,,
221,,河海大学,英语杀我,2,216,0.33,+2(139),,+1(57),,,-5,,,,,,,
222,,暨南大学,看看你们花里胡哨的队名,2,257,0.33,-5,,+2(110),,,+1(127),,,,,,,
223,,广东外语外贸大学,铁头娃,2,268,0.6,+4(137),,+1(71),,,-4,,,,,,,
224,,南阳理工学院,唐宋元明清,2,294,0.33,-5,,+1(58),,,+2(216),,,,,,,
225,,中国地质大学（北京）,吃瓜键盘侠,2,303,0.71,-4,,+3(44),,,+4(159),,,,,,,
226,,杭州电子科技大学信息工程学院,信工六队,2,312,0.75,-8,,+4(51),,,+4(141),,,,,,,
227,,大连理工大学,我太难了队,2,315,0.5,,,+2(64),,,+2(211),,,,,,,-9
228,,河南大学,键盘侠,2,325,0.66,+3(138),,+3(107),,,-5,,,,,,-2,-2
229,,苏州大学,键盘冒xie,2,327,0.75,+7(185),,+1(22),,,-16,,,,,,,
230,,安徽大学,anti-sterotype,2,332,0.71,-10,,+3(47),,,+4(185),,,,,,,
231,,南阳师范学院,百因必有果,2,334,0.5,-7,,+2(186),,,+2(108),,,,,,,
232,,南京林业大学,帮队友找女朋友+QQ943312676?,2,340,0.33,-9,,+1(118),,,+2(202),,,,,,,
233,,南昌航空大学,花里胡哨过样例，心细胆大出奇迹,2,356,0.66,+5(239),,+1(37),,,-2,,,,,,,
234,,南京信息工程大学,苟在心里,2,360,0.71,+4(206),,+3(54),,-7,-4,,,,,,,
235,,浙江大学城市学院,一定来,2,372,0.6,-7,,+1(23),,,+4(289),,,,,,,
236,,成都理工大学,AC or not AC,2,390,0.5,-10,,+3(74),,,+1(276),,,,,,,
237,,华中师范大学,兄弟买挂不,2,391,0.71,-4,,+5(128),,,+2(163),,,,,,,
238,,西北农林科技大学,铜,2,393,0.66,+4(281),,+2(32),,,-8,,,,,,,
239,,信息工程大学,小酥饼,2,423,0.6,+4(283),,+1(80),,,-8,,,,,,,
240,,黑龙江大学,加帕里哲学三轮车,2,430,0.8,-2,,+5(77),,-5,+5(193),,,,,,,
241,,西南科技大学,二分找答案,2,443,0.75,+5(264),,+3(59),,,,,,,,,,
242,,山东财经大学,鸡山村三队（女队）,2,449,0.83,,,+2(26),,,+10(223),,,,,,,
242,,天津大学仁爱学院,小贼贼啊,2,449,0.66,+3(258),,+3(111),,,-4,,,,,,,
244,,湖北工业大学,老实巴交,2,450,0.71,+2(274),,+5(76),,,-18,,,,-2,,,
245,,吉首大学,三只小猪,2,482,0.75,+3(125),,+5(237),,,-4,,,,,,,
246,,贵州大学,GZU-ACM,2,502,0.8,-4,,+7(72),,,+3(270),,,,,,,
247,,临沂大学,已经没什么可以害怕的了,2,503,0.8,+1(223),,+9(120),,,-2,,,,,,,
248,,南京晓庄学院,欲言又止,2,518,0.6,+4(197),,-2,,,+1(261),,,,,,,-2
249,,福州大学,木大木大,2,577,0.77,+6(179),,-13,,,+3(258),,,,,,,
250,,江西财经大学,比楼上少一题,2,716,0.9,-21,,+5(55),,,+16(281),,,,,,,
251,,河海大学,我不做题了，jojo,1,28,0,-6,,+1(28),,,-15,,,,,,,
252,,华东交通大学,我太难了,1,35,0,,,+1(35),,,-5,,,,,,,-4
253,,中国传媒大学,拿不到牌全单身,1,36,0,-4,,+1(36),,,-16,,,,,,,
254,,成都信息工程大学,银河以南，为彦而燃,1,49,0,-12,,+1(49),,,,,,,,,,
255,,安阳工学院,猴子派来的小队,1,53,0.5,,,+2(33),,,-15,,,,,,,
256,,鲁东大学,星星之火,1,54,0,-7,,+1(54),,,-2,,,,,,,
257,,中国计量大学,AC自动机,1,73,0.5,,,+2(53),,,-4,,,,,,,
258,,西南交通大学峨眉校区,柠檬自动机,1,86,0.66,-6,,+3(46),,,,,,,,,,
259,,南京工业大学,怎么都队,1,94,0.5,-7,,+2(74),,,-12,,,,,,,
260,,河南理工大学,第一次来徐州吃什么好,1,128,0.66,-2,,+3(88),,,,,,,,,,
261,,郑州大学,练习时长两年半,1,132,0.66,-8,,+3(92),,,-3,,,,,,,-6
262,,湖南师范大学,清风赛尔,1,151,0.66,,,+3(111),,,-3,,,,,,,
263,,江西师范大学,时常联系,1,157,0.5,,,+2(137),,,-4,,,,,,,
264,,郑州轻工业大学,学弟带我飞,1,164,0.5,-4,,+2(144),,,,,,,,,,
265,,山东农业大学,ACCCCC,1,186,0.8,-4,,+5(106),,,-6,,,,,,,
266,,苏州大学,钢铁是怎样练成的,1,218,0.75,,,+4(158),,,-12,,,,,,,
267,,深圳职业技术学院,除了AC队,1,234,0.8,-2,,+5(154),,,-4,,,,,,,
268,,北京师范大学,起得很好的队名.cpp,1,238,0.8,,,+5(158),,,-2,,,,,,,
269,,天津大学仁爱学院,爱喝汽水,1,242,0.66,,,+3(202),,,-14,,,,,,,
269,,哈尔滨理工大学,哈理工2019秋111,1,242,0.83,-2,,+6(142),,,,,,,,,,
271,,徐州工程学院,零零四,1,263,0.85,-3,,+7(143),,,,,,,,,,
272,,南京邮电大学通达学院,从打铁开始,1,274,0.75,,,-16,,,+4(214),,,,,,,
273,,西安邮电大学,无限猴子,1,303,0.8,-2,,+5(223),,,-6,,,,,,,
274,,徐州工程学院,代码练习生,1,353,0.87,,,+8(213),,,-4,,,,,,,
275,,中国矿业大学,cumt1-1,1,373,0.93,-2,,+16(73),,,-14,,,,,,,
276,,徐州工程学院,少即是多,1,492,0.91,-5,,+12(272),,,-2,,,,,,,
277,,南京晓庄学院,九头蛇万岁,0,0,0,-3,,-2,,,,,,,,,,
277,,江西师范大学,初来乍到,0,0,0,,,-5,,,-3,,,,,,,
277,,中南民族大学,依唔玛,0,0,0,,,-15,,,,,,,,,,
277,,天津工业大学,路上一道辙,0,0,0,,,-14,,,,,,,,,,
277,,常熟理工学院,多行不E必自闭,0,0,0,-2,,-4,,,,,,,,,,
277,,江苏建筑职业技术学院,苏建院Top,0,0,0,-2,,-5,,,-2,,,,,,,
277,,江苏师范大学,小星星,0,0,0,,,-4,,,-3,,,,,,,
277,,江苏师范大学,复仇者,0,0,0,-2,,-5,,,,,,,,,,
277,,陆军工程大学,使命,0,0,0,,,-19,,,,,,,,,,
