contest,date
42_ICPC_沈阳,2017/10/22
42_ICPC_西安,2017/10/29
42_ICPC_青岛,2017/11/5
42_ICPC_北京,2017/11/19
42_ICPC_香港,2017/11/19
42_ICPC_南宁,2017/11/26
42_ICPC_乌鲁木齐,2017/12/3
42_ICPC_ECFinal,2017/12/17
43_ICPC_南京,2018/10/14
43_ICPC_沈阳,2018/10/21
43_ICPC_徐州,2018/10/28
43_ICPC_青岛,2018/11/4
43_ICPC_北京,2018/11/11
43_ICPC_香港,2018/11/18
43_ICPC_焦作,2018/11/25
43_ICPC_ECFinal,2018/12/16
44_ICPC_银川,2019/10/20
44_ICPC_南京,2019/10/27
44_ICPC_徐州,2019/11/3
44_ICPC_南昌,2019/11/10
44_ICPC_沈阳,2019/11/17
44_ICPC_上海,2019/11/24
44_ICPC_香港,2019/12/1
44_ICPC_ECFinal,2019/12/15
45_ICPC_上海,2020/12/13
45_ICPC_南京,2020/12/20
45_ICPC_济南,2020/12/27
45_ICPC_昆明,2021/4/3
45_ICPC_ECFinal,2021/4/18
45_ICPC_银川,2021/5/16
45_ICPC_澳门,2021/5/29
45_ICPC_沈阳,2021/7/18
46_ICPC_济南,2021/11/14
46_ICPC_沈阳,2021/11/21
46_ICPC_上海,2021/11/28
46_ICPC_南京,2021/12/4
46_ICPC_澳门,2022/4/3
46_ICPC_昆明,2022/4/17
46_ICPC_ECFinal,2022/7/20
47_ICPC_沈阳,2022/11/6
47_ICPC_西安,2022/11/13
47_ICPC_合肥,2022/11/20
47_ICPC_济南,2022/11/27
47_ICPC_杭州,2022/12/4
47_ICPC_南京,2022/12/18
47_ICPC_香港,2023/1/14
47_ICPC_ECFinal,2023/3/25
48_ICPC_西安,2023/10/22
48_ICPC_南京,2023/11/5
48_ICPC_沈阳,2023/11/12
48_ICPC_澳门,2023/11/19
48_ICPC_合肥,2023/11/26
48_ICPC_济南,2023/12/3
48_ICPC_杭州,2023/12/10
48_ICPC_ECFinal,2024/1/13
49_ICPC_成都,2024/10/27
49_ICPC_南京,2024/11/3
49_ICPC_杭州,2024/11/10
49_ICPC_上海,2024/11/17
49_ICPC_沈阳,2024/11/24
49_ICPC_昆明,2024/12/1
49_ICPC_香港,2024/12/22
49_ICPC_ECFinal,2024/12/28
3_CCPC_哈尔滨,2017/10/22
3_CCPC_秦皇岛,2017/10/29
3_CCPC_杭州,2017/11/5
3_CCPC_总决赛,2017/12/3
4_CCPC_吉林,2018/9/22
4_CCPC_秦皇岛,2018/9/28
4_CCPC_桂林,2018/10/28
4_CCPC_总决赛,2018/11/25
5_CCPC_秦皇岛,2019/9/22
5_CCPC_哈尔滨,2019/10/13
5_CCPC_厦门,2019/10/20
5_CCPC_总决赛,2019/11/17
6_CCPC_秦皇岛,2020/10/18
6_CCPC_威海,2020/10/25
6_CCPC_绵阳,2020/11/1
6_CCPC_长春,2020/11/8
6_CCPC_总决赛,2021/5/30
7_CCPC_桂林,2021/11/7
7_CCPC_广州,2021/11/14
7_CCPC_威海,2021/11/21
7_CCPC_哈尔滨,2021/11/28
7_CCPC_总决赛,2022/7/27
8_CCPC_桂林,2022/10/30
8_CCPC_威海,2022/11/6
8_CCPC_广州,2022/11/13
8_CCPC_绵阳,2022/11/20
8_CCPC_总决赛,2023/5/14
9_CCPC_秦皇岛,2023/10/15
9_CCPC_桂林,2023/10/29
9_CCPC_哈尔滨,2023/11/5
9_CCPC_深圳,2023/11/12
9_CCPC_总决赛,2024/3/31
10_CCPC_哈尔滨,2024/10/20
10_CCPC_济南,2024/10/27
10_CCPC_重庆,2024/11/10
10_CCPC_郑州,2024/11/17
10_CCPC_总决赛,2025/5/11
50_ICPC_西安,2025/10/19
50_ICPC_成都,2025/10/26
50_ICPC_武汉,2025/11/2
50_ICPC_南京,2025/11/9
50_ICPC_沈阳,2025/11/16
50_ICPC_上海,2025/11/23
50_ICPC_香港,2025/11/30
50_ICPC_ECFinal,2026/2/2
11_CCPC_哈尔滨,2025/11/9
11_CCPC_济南,2025/11/16
11_CCPC_郑州,2025/11/23
11_CCPC_重庆,2025/11/30